,APR DRG Code,County,Weighted avg,Total Population,Median age,Number of Households,Median Income
261,24,Erie,41557.3,923995,40.3,386371,54006
262,24,Franklin,16366.01,51054,40.5,18956,50733
263,24,Fulton,8868,53955,43.4,22535,48033
264,24,Genesee,17451,58537,43.2,23951,54033
265,24,Jefferson,41929.32,116567,31.9,43206,50322
266,24,Kings,78509.96,2635121,34.8,944650,52782
267,24,Lewis,11500,26845,41.8,10236,51475
268,24,Livingston,14599.89,64373,40.4,24432,53654
269,24,Monroe,31328.32,748680,38.6,300496,55272
270,24,Nassau,68773.43,1363069,41.5,444136,105744
271,24,New York,81216.86,1653877,37.1,758345,79781
272,24,Niagara,19939.96,212675,43,87978,51656
273,24,Oneida,21290.73,232324,41,90472,51316
274,24,Onondaga,40283.19,467669,38.8,185840,57271
275,24,Ontario,13291.6,109491,43.4,44269,61710
276,24,Orange,38618.36,378174,36.9,126460,75146
277,24,Otsego,22563.55,60750,42,23627,51254
278,24,Putnam,43035.62,99464,43.8,34316,99608
279,24,Queens,53940.48,2339280,38.3,777904,62008
280,24,Rensselaer,16522.63,159800,39.9,64456,63166
281,24,Richmond,55152.32,475948,39.9,166150,76244
282,24,Rockland,45723.54,325027,36.2,99935,88571
283,24,Saratoga,22155.43,226632,42.3,93129,77548
284,24,Schenectady,25299.13,155239,39.8,53825,61315
285,24,Suffolk,61585.03,1497595,41,489328,92838
286,24,Sullivan,14444,75783,42.6,27679,53877
287,24,Tompkins,10259.23,104415,30.4,38986,56200
288,24,Ulster,14917.53,180129,43.6,69662,61652
289,24,Warren,16367.93,64701,46.2,27249,60222
290,24,Westchester,110022.92,975321,40.6,345885,89968
291,26,Albany,60217.73,308580,37.8,125376,62293
292,26,Allegany,17863.92,47400,38.6,18124,45359
293,26,Bronx,81407.28,1455846,33.6,495356,36593
294,26,Broome,38634.65,196124,39.6,78821,49064
295,26,Cattaraugus,40977.85,78175,41.7,31723,45571
296,26,Cayuga,33125.95,78319,42.5,31428,54664
297,26,Chautauqua,32947.56,130846,42.3,52983,44304
298,26,Chemung,39607.42,86883,41.2,34664,51251
299,26,Chenango,27087.5,48763,44.4,20373,48567
300,26,Clinton,75801.63,81224,39.4,31680,52759
301,26,Columbia,34955.34,61481,47.4,25470,61093
302,26,Cortland,23475.57,48334,36.2,17925,52451
303,26,Dutchess,77861.85,295685,41.8,107384,75585
304,26,Erie,46590.44,923995,40.3,386371,54006
305,26,Franklin,25579.47,51054,40.5,18956,50733
306,26,Fulton,46962.56,53955,43.4,22535,48033
307,26,Genesee,45126.26,58537,43.2,23951,54033
308,26,Jefferson,50713.66,116567,31.9,43206,50322
309,26,Kings,65247.71,2635121,34.8,944650,52782
310,26,Lewis,10255.39,26845,41.8,10236,51475
